Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2018/04/19, 03:02:32, -3.818041, -32.391026, 6.94,  72.00, 167, -2, 0.00, 1
2018/04/19, 03:02:46, -3.818041, -32.391026, 6.97,  0.00, 197, 0, 0.00, 
2018/04/19, 03:03:00, -3.818041, -32.391026, 6.97,  0.00, 146, 0, 0.00, 
2018/04/19, 03:03:15, -3.818041, -32.391026, 6.97,  0.00, 169, 0, 0.00, 
2018/04/19, 03:03:29, -3.818041, -32.391026, 6.97,  0.00, 132, 0, 0.00, 
2018/04/19, 03:03:43, -3.818041, -32.391026, 6.97,  0.00, 140, 0, 0.00, 
2018/04/19, 03:03:57, -3.818041, -32.391026, 6.97,  0.00, 30, 0, 0.00, 
2018/04/19, 03:04:11, -3.818041, -32.391026, 6.97,  0.00, 147, 0, 0.00, 
2018/04/19, 03:04:25, -3.818041, -32.391026, 6.97,  0.00, 20, 0, 0.00, 
2018/04/19, 03:04:40, -3.818041, -32.391026, 6.97,  0.00, 144, 0, 0.00, 
2018/04/19, 03:04:55, -3.818041, -32.391026, 6.97,  0.00, 213, 0, 0.00, 
2018/04/19, 03:05:09, -3.818041, -32.391026, 6.97,  0.00, 140, 0, 0.00, 
2018/04/19, 03:05:24, -3.818041, -32.391026, 6.97,  0.00, 230, 0, 0.00, 
2018/04/19, 03:05:38, -3.818041, -32.391026, 6.97,  0.00, 137, 0, 0.00, 
2018/04/19, 03:05:53, -3.818041, -32.391026, 6.97,  0.00, 70, 0, 0.00, 
2018/04/19, 03:06:07, -3.818041, -32.391026, 6.97,  0.00, 143, 0, 0.00, 
2018/04/19, 03:06:21, -3.818041, -32.391026, 6.97,  0.00, 21, 0, 0.00, 
2018/04/19, 03:06:36, -3.818041, -32.391026, 6.97,  0.00, 141, 0, 0.00, 
2018/04/19, 03:06:51, -3.818041, -32.391026, 6.97,  0.00, 245, 0, 0.00, 
2018/04/19, 03:07:05, -3.818041, -32.391026, 6.97,  0.00, 118, 0, 0.00, 
2018/04/19, 03:07:20, -3.818041, -32.391026, 6.97,  0.00, 26, 0, 0.00, 
2018/04/19, 03:07:34, -3.818041, -32.391026, 6.97,  0.00, 141, 0, 0.00, 
2018/04/19, 03:07:49, -3.818041, -32.391026, 6.97,  0.00, 341, 0, 0.00, 
2018/04/19, 03:08:03, -3.818041, -32.391026, 6.97,  0.00, 144, 0, 0.00, 
2018/04/19, 03:08:18, -3.818041, -32.391026, 6.97,  0.00, 331, 0, 0.00, 
2018/04/19, 03:08:32, -3.818041, -32.391026, 6.97,  0.00, 141, 0, 0.00, 
2018/04/19, 03:08:47, -3.818041, -32.391026, 6.97,  0.00, 104, 0, 0.00, 
2018/04/19, 03:09:01, -3.818041, -32.391026, 6.97,  0.00, 147, 0, 0.00, 
2018/04/19, 03:09:16, -3.818041, -32.391026, 6.97,  0.00, 330, 0, 0.00, 
2018/04/19, 03:09:30, -3.818041, -32.391026, 6.97,  0.00, 129, 0, 0.00, 
2018/04/19, 03:09:45, -3.818041, -32.391026, 6.97,  0.00, 173, 0, 0.00, 
2018/04/19, 03:09:59, -3.818041, -32.391026, 6.97,  0.00, 131, 0, 0.00, 
2018/04/19, 03:10:13, -3.818041, -32.391026, 6.97,  0.00, 141, 0, 0.00, 
2018/04/19, 03:10:27, -3.818041, -32.391026, 6.97,  0.00, 129, 0, 0.00, 
2018/04/19, 03:10:41, -3.818041, -32.391026, 6.97,  0.00, 143, 0, 0.00, 
2018/04/19, 03:10:55, -3.818041, -32.391026, 6.97,  0.00, 133, 0, 0.00, 
2018/04/19, 03:11:10, -3.818041, -32.391026, 6.97,  0.00, 310, 0, 0.00, 
2018/04/19, 03:11:23, -3.818041, -32.391026, 6.97,  0.00, 284, 0, 0.00, 
2018/04/19, 03:11:38, -3.818041, -32.391026, 6.97,  0.00, 141, 0, 0.00, 
2018/04/19, 03:11:53, -3.818041, -32.391026, 6.97,  0.00, 287, 0, 0.00, 
2018/04/19, 03:12:07, -3.818041, -32.391026, 6.97,  0.00, 140, 0, 0.00, 
2018/04/19, 03:12:22, -3.818041, -32.391026, 6.97,  0.00, 161, 0, 0.00, 
2018/04/19, 03:12:36, -3.818041, -32.391026, 6.97,  0.00, 142, 0, 0.00, 
2018/04/19, 03:12:51, -3.818041, -32.391026, 6.97,  0.00, 293, 0, 0.00, 
2018/04/19, 03:13:05, -3.818041, -32.391026, 6.97,  0.00, 139, 0, 0.00, 
