vector_name;format;sep;dec;reading_pb;spot_extra_lines;num_line;column_date;column_time;column_latitude;lat_N_or_S;column_longitude;long_E_or_W;format_date;hour;location_col;column_ID;header;datetime_or_not
1ME;csv;,;.;no;no;no;1;2;3;nothing;4;nothing;%Y/%m/%d;HLOC;1;no;TRUE;no
1CH;csv;,;.;no;no;no;1;2;3;nothing;4;nothing;%Y/%m/%d;HLOC;2;no;TRUE;no
2;csv;space;.;extra_lines;no;1;2;3;4;nothing;5;nothing;%d/%m/%Y;HLOC;1;no;TRUE;no
2bisSB;csv;space;.;extra_lines;no;1;2;3;4;nothing;5;nothing;%d/%m/%Y;HLOC;5;no;TRUE;no
2bisbisSB;csv;space;.;extra_lines;no;2;2;3;4;nothing;5;nothing;%d/%m/%Y;HLOC;5;no;TRUE;no
3;csv;,;.;no;no;no;1;2;3;nothing;4;nothing;%d/%m/%Y;HLOC;1;no;TRUE;no
4;csv;,;.;no;no;no;8;9;10;nothing;11;nothing;%d/%m/%Y;HLOC;1;1;TRUE;no
5;txt;space;.;no;no;no;2;1;4;nothing;3;nothing;%d/%m/%Y;HLOC;automatic;no;FALSE;no
5GNP;txt;space;.;no;no;no;2;1;4;nothing;3;nothing;%d/%m/%Y;UTC;10;no;FALSE;no
5PSC;txt;space;.;no;no;no;2;1;4;nothing;3;nothing;%d/%m/%Y;UTC;11;no;FALSE;no
5PSCminus;txt;space;.;no;no;no;2;1;4;S;3;W;%d/%m/%Y;UTC;11;no;FALSE;no
6;csv;";";.;no;no;no;1;2;4;nothing;3;nothing;%Y/%m/%d;HLOC;automatic;no;FALSE;no
6ME;csv;";";.;no;no;no;1;2;4;nothing;3;nothing;%Y/%m/%d;HLOC;1;no;FALSE;no
6CH;csv;";";.;no;no;no;1;2;4;nothing;3;nothing;%Y/%m/%d;HLOC;2;no;FALSE;no
7;csv;";";.;no;no;no;1;2;4;nothing;3;nothing;%d/%m/%Y;HLOC;automatic;no;FALSE;no
7ME;csv;";";.;no;no;no;1;2;4;nothing;3;nothing;%d/%m/%Y;HLOC;1;no;FALSE;no
8;csv;";";.;no;no;no;1;2;4;nothing;3;nothing;%d/%m/%y;HLOC;automatic;no;TRUE;no
8ME;csv;";";.;no;no;no;1;2;4;nothing;3;nothing;%d/%m/%y;HLOC;1;no;TRUE;no
9;txt;space;.;no;no;no;1;2;4;nothing;3;nothing;%d/%m/%Y;HLOC;2;no;FALSE;no
10;csv;,;.;no;no;no;1;2;3;nothing;4;nothing;%Y/%m/%d;HLOC;automatic;no;TRUE;no
10SB;csv;,;.;no;no;no;1;2;3;nothing;4;nothing;%Y/%m/%d;HLOC;5;no;TRUE;no
